taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls
,Public,noCharger,non-res,,,-122.3401474,47.61465211000004,528333,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3500974,47.61607793250005,528351,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3262733,47.59767121500005,528355,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3249812,47.59639817850004,528377,Any,Block,0,2
,Public,noCharger,non-res,,,-122.330928,47.606845923000066,528407,Any,Block,0,8
,Public,noCharger,non-res,,,-122.3330134,47.60316647600004,528424,Any,Block,0,6
,Public,noCharger,non-res,,,-122.323984,47.608786508000065,528511,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3248684,47.606550335000065,528531,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3501639,47.616026463000054,528551,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3494296,47.616844708500054,528563,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3323254,47.603309273000036,528603,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3241032,47.60774704800005,528618,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3355375,47.61824003800007,528631,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3275823,47.59683789850004,528674,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3352537,47.608520979000076,528712,Any,Block,0,6
,Public,noCharger,non-res,,,-122.353548,47.61469373700007,528724,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3251613,47.59801870100006,528727,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3306454,47.606125936500035,528741,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3264166,47.60146136900005,528803,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3514818,47.616531461500045,528848,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3337706,47.60284314350005,528852,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3338945,47.60279126000003,528858,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3262716,47.601209678500055,528867,Any,Block,0,8
,Public,noCharger,non-res,,,-122.3475306,47.61810122077556,528907,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3208522,47.60223909300004,528976,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3521581,47.61730845150004,528998,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3305925,47.603690789500064,529021,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3277556,47.600267993000045,529029,Any,Block,0,2
,Public,noCharger,non-res,,,-122.336582,47.60997287650005,529044,Any,Block,0,10
,Public,noCharger,non-res,,,-122.336971,47.604454427000064,529057,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3206333,47.604873560000044,529075,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3261353,47.61376598350006,529080,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3262667,47.60035675450007,529096,Any,Block,0,2
,Public,noCharger,non-res,,,-122.320626,47.602542986500055,529163,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3346155,47.60544846350004,529182,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3264171,47.60131378200006,529203,Any,Block,0,3
,Public,noCharger,non-res,,,-122.351978,47.61485754550006,529261,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3249876,47.59888085250006,529272,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3311984,47.60673278300007,529314,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3206391,47.611732688000075,529341,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3323345,47.60428835600004,529356,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3206467,47.60885588700004,529363,Any,Block,0,25
,Public,noCharger,non-res,,,-122.3259931,47.60597381200003,529552,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3403564,47.613151846500045,529565,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3509577,47.61693697250007,529584,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3226665,47.60747708450003,529631,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3206336,47.60492289200005,529699,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3337138,47.60483307250007,529712,Any,Block,0,4
,Public,noCharger,non-res,,,-122.350863,47.61549423050005,529751,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3213219,47.61102124450008,529758,Any,Block,0,2
