carrierId,tourId,vehicleId,vehicleTypeId,depotZone,depotX,depotY,mesoZone
68299381-1401md-d,b2b-5659,68299381-1401md-d-c33-155353,md-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,642.0
68299384-1402hdv-d,b2b-5660,68299384-1402hdv-d-c33-155354,hdv-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,642.0
68299384-1403hdv-d,b2b-5661,68299384-1403hdv-d-c33-155410,hdv-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,642.0
68299384-1403hdv-d,b2b-5662,68299384-1403hdv-d-c33-155411,hdv-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,642.0
68299391-1404md-d,b2b-5663,68299391-1404md-d-c33-155437,md-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,600.0
68299391-1404md-d,b2b-5664,68299391-1404md-d-c33-155436,md-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,600.0
68299391-1404md-d,b2b-5665,68299391-1404md-d-c33-155437,md-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,600.0
68299391-1405md-d,b2b-5666,68299391-1405md-d-c33-155465,md-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,600.0
68299394-1406hdv-d,b2b-5667,68299394-1406hdv-d-c33-155494,hdv-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,600.0
68299401-1407md-d,b2b-5668,68299401-1407md-d-c33-155495,md-D-Diesel-2018-Baseline,2349,-121.17189177897856,47.67764726349073,14.0
68299401-1407md-d,b2b-5669,68299401-1407md-d-c33-155520,md-D-Diesel-2018-Baseline,2349,-121.17189177897856,47.67764726349073,14.0
68299401-1407md-d,b2b-5670,68299401-1407md-d-c33-155521,md-D-Diesel-2018-Baseline,2349,-121.17189177897856,47.67764726349073,14.0
68299401-1407md-d,b2b-5671,68299401-1407md-d-c33-155518,md-D-Diesel-2018-Baseline,2349,-121.17189177897856,47.67764726349073,14.0
