payloadId,sequenceRank,tourId,payloadType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,activityType,fleetType,operationDurationInSecOG
b2b-332-3,3,b2b-332,mfr_goods,530539400022,37500,27000,93600,480,-122.37332142133934,47.23996128203731,530539400022.0,811400,339990,131.99537967,delivery-only,unloading,private,480
b2b-332-4,4,b2b-332,mfr_goods,530330292061,39720,27000,93600,720,-122.22299556451529,47.403327228350754,530330292061.0,424400,339990,395.98613901000004,delivery-only,unloading,private,720
b2b-332-5,5,b2b-332,mfr_goods,530610408002,48300,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,0.0,delivery-only,loading,,0
b2b-333-0,0,b2b-333,mfr_goods,530610408002,27000,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,1319.9537967,delivery-only,loading,,0
b2b-333-1,1,b2b-333,mfr_goods,530330292061,33240,27000,93600,720,-122.22299556451529,47.403327228350754,530330292061.0,424400,339990,1319.9537967,delivery-only,unloading,private,720
b2b-333-2,2,b2b-333,mfr_goods,530610408002,46980,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,0.0,delivery-only,loading,,0
b2b-337-0,0,b2b-337,mfr_goods,530610408002,30000,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,527.98151868,delivery-only,loading,,0
b2b-337-1,1,b2b-337,mfr_goods,530610517021,31980,30000,93600,1140,-122.27802408934272,47.8258149941124,530610517021.0,423600,339990,527.98151868,delivery-only,unloading,private,1140
b2b-337-2,2,b2b-337,mfr_goods,530610408002,36360,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,0.0,delivery-only,loading,,0
b2b-338-0,0,b2b-338,mfr_goods,530610408002,34800,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,527.98151868,delivery-only,loading,,0
b2b-338-1,1,b2b-338,mfr_goods,530610517021,36780,34800,93600,480,-122.27802408934272,47.8258149941124,530610517021.0,423600,339990,527.98151868,delivery-only,unloading,private,480
b2b-338-2,2,b2b-338,mfr_goods,530610408002,41280,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,0.0,delivery-only,loading,,0
b2b-340-0,0,b2b-340,mfr_goods,530610408002,34800,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,395.98613901000004,delivery-only,loading,,0
b2b-340-1,1,b2b-340,mfr_goods,530610517021,36780,34800,93600,540,-122.27802408934272,47.8258149941124,530610517021.0,423600,339990,395.98613901000004,delivery-only,unloading,private,540
b2b-340-2,2,b2b-340,mfr_goods,530610408002,41040,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,0.0,delivery-only,loading,,0
b2b-346-0,0,b2b-346,mfr_goods,530610408002,37200,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,1187.95841703,delivery-only,loading,,0
b2b-346-1,1,b2b-346,mfr_goods,530530605002,46380,37200,93600,480,-122.46656229301088,47.27458103666674,530530605002.0,336390,339990,1187.95841703,delivery-only,unloading,private,480
b2b-346-2,2,b2b-346,mfr_goods,530610408002,64680,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,0.0,delivery-only,loading,,0
