level_0,payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,distance,weightInKg,deliveryType,fleetType
61226,61-b2b10497,1,b2b-11048,bulk,loading,3664,32400,32400,79200,840,-122.20386306470446,47.78094092570392,3664.0,325190,113000,68.72092568700137,5176.84971881,pickup-delivery,for-hire
61227,61-b2b10497,2,b2b-11048,bulk,unloading,2912,41520,33240,100800,660,-121.57154802106145,47.06787442561271,20095.0,325190,113000,80.9575340202778,5176.84971881,pickup-delivery,for-hire
61228,61-b2b10496,3,b2b-11048,bulk,loading,3664,50460,25200,79200,4320,-122.20386306470446,47.78094092570392,3664.0,325190,113000,80.9575340202778,9071.8474,pickup-delivery,for-hire
61229,61-b2b10496,4,b2b-11048,bulk,unloading,2912,63060,29520,100800,1200,-121.57154802106145,47.06787442561271,20095.0,325190,113000,80.9575340202778,9071.8474,pickup-delivery,for-hire
61230,61-b2b10495,5,b2b-11048,bulk,loading,3664,72540,35400,79200,2400,-122.20386306470446,47.78094092570392,3664.0,325190,113000,80.9575340202778,9071.8474,pickup-delivery,for-hire
61231,61-b2b10495,6,b2b-11048,bulk,unloading,2912,83220,37800,100800,1140,-121.57154802106145,47.06787442561271,20095.0,325190,113000,80.9575340202778,9071.8474,pickup-delivery,for-hire
61232,61-db2b11048-,7,b2b-11048,bulk,loading,2128,85500,0,0,0,-121.47570027834682,47.10458526658929,4740.0,,,20.133127497972485,0.0,pickup-delivery,
61237,61-db2b11050,0,b2b-11050,bulk,loading,2128,39000,0,0,0,-121.47570027834682,47.10458526658929,4726.0,,,0.0,0.0,pickup-delivery,
61238,61-b2b10542,1,b2b-11050,bulk,loading,3761,48720,20340,79200,1080,-122.03073532805638,47.92453282326704,3761.0,311210,1111B0,74.26783616304651,9071.8474,pickup-delivery,for-hire
61239,61-b2b10542,2,b2b-11050,bulk,unloading,2394,53640,21420,86400,3240,-122.7004384467446,47.77047470734223,2394.0,311210,1111B0,48.86921725073629,9071.8474,pickup-delivery,for-hire
61240,61-b2b10543,3,b2b-11050,bulk,loading,3761,61860,32520,79200,4560,-122.03073532805638,47.92453282326704,3761.0,311210,1111B0,48.86921725073629,9071.8474,pickup-delivery,for-hire
61241,61-b2b10543,4,b2b-11050,bulk,unloading,2394,70260,37080,86400,840,-122.6697436842118,47.806635588522376,2394.0,311210,1111B0,48.86921725073629,9071.8474,pickup-delivery,for-hire
61242,61-db2b11050-,5,b2b-11050,bulk,loading,2128,80580,0,0,0,-121.47570027834682,47.10458526658929,4726.0,,,92.30555653040037,0.0,pickup-delivery,
61305,61-db2b11063,0,b2b-11063,mfr_goods,loading,2128,32400,0,0,0,-121.47570027834682,47.10458526658929,20015.0,,,0.0,0.0,pickup-delivery,
61306,61-b2b12448,1,b2b-11063,mfr_goods,loading,2128,33300,4800,68400,300,-121.47570027834682,47.10458526658929,20015.0,336412,336412,0.2485484,211.37404442000002,pickup-delivery,for-hire
61307,61-b2b12448,2,b2b-11063,mfr_goods,unloading,3880,44340,5100,86400,1080,-122.16510257540428,48.1909881550946,3880.0,336412,336412,104.66121263727374,211.37404442000002,pickup-delivery,for-hire
61308,61-db2b11063-,3,b2b-11063,mfr_goods,loading,2128,56160,0,0,0,-121.47570027834682,47.10458526658929,20015.0,,,104.66121263727374,0.0,pickup-delivery,
61345,61-db2b11072,0,b2b-11072,mfr_goods,loading,3248,27000,0,0,0,-122.22687900228613,46.7689413928168,4839.0,,,0.0,0.0,pickup-delivery,
61346,61-b2b22562,1,b2b-11072,mfr_goods,loading,3610,37740,22440,79200,300,-122.31538157640163,47.8252358388413,3610.0,230301,335313,101.80837355855112,48.98797596,pickup-delivery,for-hire
61347,61-b2b22562,2,b2b-11072,mfr_goods,unloading,2863,44520,22740,86400,1020,-122.44205144422727,47.21286362773278,2863.0,230301,335313,63.444038145389065,48.98797596,pickup-delivery,for-hire
61348,61-db2b11072-,3,b2b-11072,mfr_goods,loading,3248,49020,0,0,0,-122.22687900228613,46.7689413928168,4839.0,,,40.50602107010328,0.0,pickup-delivery,
61405,61-db2b11080,0,b2b-11080,fuel_fert,loading,3248,45600,0,0,0,-122.22687900228613,46.7689413928168,4839.0,,,0.0,0.0,pickup-delivery,
61406,61-b2b17957,1,b2b-11080,fuel_fert,loading,3810,61020,27600,79200,3540,-122.17381378998746,48.12574120136841,3810.0,325310,325310.0,132.86926053257602,9071.8474,pickup-delivery,for-hire
61407,61-b2b17957,2,b2b-11080,fuel_fert,unloading,3181,75120,31140,100800,3240,-122.79042669700618,47.2126448710439,2729.0,325310,325310.0,102.84420640078258,9071.8474,pickup-delivery,for-hire
61408,61-db2b11080-,3,b2b-11080,fuel_fert,loading,3248,83640,0,0,0,-122.22687900228613,46.7689413928168,4839.0,,,51.41756940283072,0.0,pickup-delivery,
