taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls,timeRestrictions
,Public,NoCharger,non-res,,,-122.3555026,47.623428,518717,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3127313,47.6217673,518720,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194722,47.6208056,518725,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3493011,47.6160987,518735,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3529009,47.6251462,518760,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3169483,47.6135108,518768,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3379764,47.6080994,518775,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3342958,47.6006976,518786,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.351714,47.6165635,518798,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194745,47.6209465,518811,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3605649,47.6227857,518838,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.352204,47.6177861,518914,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3494174,47.6151947,518925,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3192995,47.6125977,518931,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3323078,47.6022147,518950,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3529412,47.6190539,518972,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3553606,47.6194804,518973,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3594236,47.6207552,518978,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3314382,47.6007737,519007,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3392872,47.6095428,519031,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3169788,47.6138732,519045,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3314568,47.5990058,519046,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.316961,47.6156052,519049,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194738,47.6209027,519051,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3435288,47.6117234,519080,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3169606,47.6142985,519114,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3169712,47.616244,519117,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3526678,47.6248964,519129,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3340671,47.599031,519130,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.344879,47.6134873,519133,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.33425,47.6043439,519161,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194619,47.6201503,519163,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3593957,47.6217029,519175,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3605759,47.6212659,519176,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3415107,47.6116957,519184,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3527019,47.6205792,519215,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3555021,47.6234828,519239,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3405521,47.6092743,519243,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3343076,47.5986446,519244,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3194646,47.6203213,519260,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3439735,47.6129373,519292,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3526682,47.6248458,519314,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3553359,47.6224887,519319,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3460404,47.6129974,519321,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3431673,47.6115095,519330,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3337836,47.6035211,519342,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.33485,47.6030436,519343,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3387577,47.6075836,519346,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3434801,47.6128531,519356,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3143213,47.6143759,519379,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3355843,47.6055056,519391,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3401105,47.609073,519393,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3401548,47.6108036,519408,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3329346,47.6045997,519424,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3338694,47.6039278,519445,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3605756,47.6213206,519449,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3484481,47.6155906,519460,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3342853,47.6013344,519470,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3354556,47.6037034,519473,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3301655,47.601194,519478,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3143275,47.6147684,519514,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3167439,47.6157231,519549,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3382956,47.6101819,519560,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3316892,47.5985845,519597,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3448101,47.6136468,519626,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3366976,47.6067173,519639,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3431113,47.6112687,519650,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3553464,47.6212136,519651,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3316805,47.6015333,519694,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3490981,47.6150059,519714,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3431507,47.6136276,519717,Any,Block,0.0,1.0,
