"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(20, 25]","(-20, -19]","(20408.163, 20861.678]",0.0339674472078912
"(20, 25]","(-20, -19]","(20861.678, 21315.193]",0.0316948672991152
"(20, 25]","(-20, -19]","(21315.193, 21768.707]",0.0362627085083954
"(20, 25]","(-20, -19]","(21768.707, 22222.222]",0.0317793307963711
"(20, 25]","(-20, -19]","(22222.222, 22675.737]",0.0257861345595674
"(20, 25]","(-20, -19]","(22675.737, 23129.252]",0.0172293524300216
"(20, 25]","(-20, -19]","(23129.252, 23582.766]",0.0172293524300216
"(20, 25]","(-20, -19]","(23582.766, 24036.281]",0.016842934521417
"(20, 25]","(-20, -19]","(24036.281, 24489.796]",0.016842934521417
"(20, 25]","(-20, -19]","(24489.796, 24943.311]",0.016426350169877
"(20, 25]","(-20, -19]","(24943.311, 25396.825]",0.016426350169877
"(20, 25]","(-20, -19]","(25396.825, 25850.34]",0.016426350169877
"(20, 25]","(-20, -19]","(25850.34, 26303.855]",0.016426350169877
"(20, 25]","(-20, -19]","(26303.855, 26757.37]",0.016426350169877
"(20, 25]","(-20, -19]","(26757.37, 27210.884]",0.016426350169877
"(20, 25]","(-20, -19]","(27210.884, 27664.399]",0.016426350169877
"(20, 25]","(-20, -19]","(27664.399, 28117.914]",0.016426350169877
"(20, 25]","(-20, -19]","(28117.914, 28571.429]",0.016426350169877
"(20, 25]","(-20, -19]","(28571.429, 29024.943]",0.016426350169877
"(20, 25]","(-20, -19]","(29024.943, 29478.458]",0.0145373356053429
"(20, 25]","(-20, -19]","(29478.458, 29931.973]",0.0145373356053429
"(20, 25]","(-20, -19]","(29931.973, 30385.488]",0.0145373356053429
"(20, 25]","(-20, -19]","(30385.488, 30839.002]",0.0145373356053429
"(20, 25]","(-20, -19]","(30839.002, 31292.517]",0.0145373356053429
"(20, 25]","(-20, -19]","(31292.517, 31746.032]",0.0145373356053429
"(20, 25]","(-20, -19]","(31746.032, 32199.546]",0.0149995383838399
"(20, 25]","(-20, -19]","(32199.546, 32653.061]",0.0157410056870391
"(20, 25]","(-20, -19]","(32653.061, 33106.576]",0.0157410056870391
"(20, 25]","(-20, -19]","(33106.576, 33560.091]",0.0157410056870391
"(20, 25]","(-20, -19]","(33560.091, 34013.605]",0.0157410056870391
"(20, 25]","(-20, -19]","(34013.605, 34467.12]",0.0157410056870391
"(20, 25]","(-20, -19]","(34467.12, 34920.635]",0.0157410056870391
"(20, 25]","(-20, -19]","(34920.635, 35374.15]",0.0157410056870391
"(20, 25]","(-20, -19]","(35374.15, 35827.664]",0.0157410056870391
"(20, 25]","(-20, -19]","(35827.664, 36281.179]",0.0157410056870391
"(25, 30]","(-20, -19]","(11337.868, 11791.383]",0.0380304163624034
"(25, 30]","(-20, -19]","(11791.383, 12244.898]",0.0241200302234915
"(25, 30]","(-20, -19]","(12244.898, 12698.413]",0.0241200302234915
"(25, 30]","(-20, -19]","(12698.413, 13151.927]",0.0241200302234915
"(25, 30]","(-20, -19]","(13151.927, 13605.442]",0.0219633438465755
"(25, 30]","(-20, -19]","(13605.442, 14058.957]",0.0219633438465755
"(25, 30]","(-20, -19]","(14058.957, 14512.472]",0.0219633438465755
"(25, 30]","(-20, -19]","(14512.472, 14965.986]",0.0219633438465755
"(25, 30]","(-20, -19]","(14965.986, 15419.501]",0.0196030678740835
"(25, 30]","(-20, -19]","(15419.501, 15873.016]",0.0105409672848439
"(25, 30]","(-20, -19]","(15873.016, 16326.531]",0.0096314956547781
"(25, 30]","(-20, -19]","(16326.531, 16780.045]",0.0100875199285168
"(25, 30]","(-20, -19]","(16780.045, 17233.56]",0.0100875199285168
"(25, 30]","(-20, -19]","(17233.56, 17687.075]",0.0100875199285168
"(25, 30]","(-20, -19]","(17687.075, 18140.59]",0.0111286208980103
"(25, 30]","(-20, -19]","(18140.59, 18594.104]",0.0128397249331037
"(25, 30]","(-20, -19]","(18594.104, 19047.619]",0.0128397249331037
"(25, 30]","(-20, -19]","(19047.619, 19501.134]",0.0174319281144523
"(25, 30]","(-20, -19]","(19501.134, 19954.649]",0.0231655480458527
"(25, 30]","(-20, -19]","(19954.649, 20408.163]",0.033926099550169
"(25, 30]","(-20, -19]","(20408.163, 20861.678]",0.033926099550169
"(25, 30]","(-20, -19]","(20861.678, 21315.193]",0.0303622115887607
"(25, 30]","(-20, -19]","(21315.193, 21768.707]",0.034930052798041
"(25, 30]","(-20, -19]","(21768.707, 22222.222]",0.0297903115339794
"(25, 30]","(-20, -19]","(22222.222, 22675.737]",0.0244948265069352
"(25, 30]","(-20, -19]","(22675.737, 23129.252]",0.0159380443773893
"(25, 30]","(-20, -19]","(23129.252, 23582.766]",0.0159380443773893
"(25, 30]","(-20, -19]","(23582.766, 24036.281]",0.0159627736107332
"(25, 30]","(-20, -19]","(24036.281, 24489.796]",0.0159627736107332
"(25, 30]","(-20, -19]","(24489.796, 24943.311]",0.0155461892591932
"(25, 30]","(-20, -19]","(24943.311, 25396.825]",0.0155461892591932
"(25, 30]","(-20, -19]","(25396.825, 25850.34]",0.0155461892591932
"(25, 30]","(-20, -19]","(25850.34, 26303.855]",0.0155461892591932
"(25, 30]","(-20, -19]","(26303.855, 26757.37]",0.0155461892591932
"(25, 30]","(-20, -19]","(26757.37, 27210.884]",0.0155461892591932
"(25, 30]","(-20, -19]","(27210.884, 27664.399]",0.0155461892591932
"(25, 30]","(-20, -19]","(27664.399, 28117.914]",0.0155461892591932
"(25, 30]","(-20, -19]","(28117.914, 28571.429]",0.0155461892591932
"(25, 30]","(-20, -19]","(28571.429, 29024.943]",0.0155461892591932
"(25, 30]","(-20, -19]","(29024.943, 29478.458]",0.0149484827472914
"(25, 30]","(-20, -19]","(29478.458, 29931.973]",0.0149484827472914
"(25, 30]","(-20, -19]","(29931.973, 30385.488]",0.0149484827472914
"(25, 30]","(-20, -19]","(30385.488, 30839.002]",0.0149484827472914
"(25, 30]","(-20, -19]","(30839.002, 31292.517]",0.0149484827472914
"(25, 30]","(-20, -19]","(31292.517, 31746.032]",0.0149484827472914
"(25, 30]","(-20, -19]","(31746.032, 32199.546]",0.0149484827472914
"(25, 30]","(-20, -19]","(32199.546, 32653.061]",0.0156899500504906
"(25, 30]","(-20, -19]","(32653.061, 33106.576]",0.0156899500504906
"(25, 30]","(-20, -19]","(33106.576, 33560.091]",0.0156899500504906
"(25, 30]","(-20, -19]","(33560.091, 34013.605]",0.0156899500504906
"(25, 30]","(-20, -19]","(34013.605, 34467.12]",0.0156899500504906
"(25, 30]","(-20, -19]","(34467.12, 34920.635]",0.0156899500504906
"(25, 30]","(-20, -19]","(34920.635, 35374.15]",0.0156899500504906
"(25, 30]","(-20, -19]","(35374.15, 35827.664]",0.0156899500504906
"(25, 30]","(-20, -19]","(35827.664, 36281.179]",0.0156899500504906
"(30, 35]","(-20, -19]","(11337.868, 11791.383]",0.0222811410701012
"(30, 35]","(-20, -19]","(11791.383, 12244.898]",0.0222811410701012
"(30, 35]","(-20, -19]","(12244.898, 12698.413]",0.0222811410701012
"(30, 35]","(-20, -19]","(12698.413, 13151.927]",0.0222811410701012
"(30, 35]","(-20, -19]","(13151.927, 13605.442]",0.0222811410701012
"(30, 35]","(-20, -19]","(13605.442, 14058.957]",0.0222811410701012
"(30, 35]","(-20, -19]","(14058.957, 14512.472]",0.0222811410701012
"(30, 35]","(-20, -19]","(14512.472, 14965.986]",0.0222811410701012
"(30, 35]","(-20, -19]","(14965.986, 15419.501]",0.0270400878667826
"(30, 35]","(-20, -19]","(15419.501, 15873.016]",0.0270400878667826
"(30, 35]","(-20, -19]","(15873.016, 16326.531]",0.0295415083716762
"(30, 35]","(-20, -19]","(16326.531, 16780.045]",0.0311794426087169
"(30, 35]","(-20, -19]","(16780.045, 17233.56]",0.0311794426087169
"(30, 35]","(-20, -19]","(17233.56, 17687.075]",0.0322246295688964
"(30, 35]","(-20, -19]","(17687.075, 18140.59]",0.0352560559462408
"(30, 35]","(-20, -19]","(18140.59, 18594.104]",0.0341923745180454
"(30, 35]","(-20, -19]","(18594.104, 19047.619]",0.0338672703984298
"(30, 35]","(-20, -19]","(19047.619, 19501.134]",0.0342762904020548
"(30, 35]","(-20, -19]","(19501.134, 19954.649]",0.0342762904020548
"(30, 35]","(-20, -19]","(19954.649, 20408.163]",0.0342762904020548
"(30, 35]","(-20, -19]","(20408.163, 20861.678]",0.0325607677947491
"(30, 35]","(-20, -19]","(20861.678, 21315.193]",0.0425768423932481
"(30, 35]","(-20, -19]","(21315.193, 21768.707]",0.0462357309209618
"(30, 35]","(-20, -19]","(21768.707, 22222.222]",0.0451859986825139
"(30, 35]","(-20, -19]","(22222.222, 22675.737]",0.0525385430619298
"(30, 35]","(-20, -19]","(22675.737, 23129.252]",0.0543964669982946
"(30, 35]","(-20, -19]","(23129.252, 23582.766]",0.0429195291197397
"(30, 35]","(-20, -19]","(23582.766, 24036.281]",0.0405679975489113
"(30, 35]","(-20, -19]","(24036.281, 24489.796]",0.0405679975489113
"(30, 35]","(-20, -19]","(24489.796, 24943.311]",0.0477430507989472
"(30, 35]","(-20, -19]","(24943.311, 25396.825]",0.0416023820004384
"(30, 35]","(-20, -19]","(25396.825, 25850.34]",0.0603566041576882
"(30, 35]","(-20, -19]","(25850.34, 26303.855]",0.0520084039666882
"(30, 35]","(-20, -19]","(26303.855, 26757.37]",0.0505231877001712
"(30, 35]","(-20, -19]","(26757.37, 27210.884]",0.0490024155583517
"(30, 35]","(-20, -19]","(27210.884, 27664.399]",0.0487895239464573
"(30, 35]","(-20, -19]","(27664.399, 28117.914]",0.0505359226543101
