"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(20, 25]","(-20, -19]","(19954.649, 20408.163]",-9.90259729954066
"(20, 25]","(-20, -19]","(20408.163, 20861.678]",-9.90259729954066
"(20, 25]","(-20, -19]","(20861.678, 21315.193]",-9.90259729954066
"(20, 25]","(-20, -19]","(21315.193, 21768.707]",-9.90259729954066
"(20, 25]","(-20, -19]","(21768.707, 22222.222]",-9.97908724092475
"(20, 25]","(-20, -19]","(22222.222, 22675.737]",-9.97908724092475
"(20, 25]","(-20, -19]","(22675.737, 23129.252]",-9.97908724092475
"(20, 25]","(-20, -19]","(23129.252, 23582.766]",-9.94241035592209
"(20, 25]","(-20, -19]","(23582.766, 24036.281]",-9.94241035592209
"(20, 25]","(-20, -19]","(24036.281, 24489.796]",-9.94241035592209
"(20, 25]","(-20, -19]","(24489.796, 24943.311]",-9.94241035592209
"(20, 25]","(-20, -19]","(24943.311, 25396.825]",-9.94241035592209
"(20, 25]","(-20, -19]","(25396.825, 25850.34]",-9.94241035592209
"(20, 25]","(-20, -19]","(25850.34, 26303.855]",-9.94241035592209
"(20, 25]","(-20, -19]","(26303.855, 26757.37]",-10.1223037599712
"(20, 25]","(-20, -19]","(26757.37, 27210.884]",-10.1223037599712
"(20, 25]","(-20, -19]","(27210.884, 27664.399]",-10.1223037599712
"(20, 25]","(-20, -19]","(27664.399, 28117.914]",-10.1223037599712
"(20, 25]","(-20, -19]","(28117.914, 28571.429]",-10.1223037599712
"(20, 25]","(-20, -19]","(28571.429, 29024.943]",-10.1223037599712
"(20, 25]","(-20, -19]","(29024.943, 29478.458]",-10.1223037599712
"(20, 25]","(-20, -19]","(29478.458, 29931.973]",-10.1223037599712
"(20, 25]","(-20, -19]","(29931.973, 30385.488]",-10.1223037599712
"(20, 25]","(-20, -19]","(30385.488, 30839.002]",-10.1223037599712
"(20, 25]","(-20, -19]","(30839.002, 31292.517]",-10.1223037599712
"(20, 25]","(-20, -19]","(31292.517, 31746.032]",-10.1223037599712
"(20, 25]","(-20, -19]","(31746.032, 32199.546]",-10.1223037599712
"(20, 25]","(-20, -19]","(32199.546, 32653.061]",-10.1223037599712
"(20, 25]","(-20, -19]","(32653.061, 33106.576]",-10.1223037599712
"(20, 25]","(-20, -19]","(33106.576, 33560.091]",-10.1223037599712
"(20, 25]","(-20, -19]","(33560.091, 34013.605]",-10.3316822372317
"(20, 25]","(-20, -19]","(34013.605, 34467.12]",-10.3316822372317
"(20, 25]","(-20, -19]","(34467.12, 34920.635]",-10.6454202991755
"(20, 25]","(-20, -19]","(34920.635, 35374.15]",-10.6454202991755
"(20, 25]","(-20, -19]","(35374.15, 35827.664]",-10.6454202991755
"(20, 25]","(-20, -19]","(35827.664, 36281.179]",-10.6454202991755
"(25, 30]","(-20, -19]","(11337.868, 11791.383]",-9.53699553918889
"(25, 30]","(-20, -19]","(11791.383, 12244.898]",-9.53699553918889
"(25, 30]","(-20, -19]","(12244.898, 12698.413]",-9.53699553918889
"(25, 30]","(-20, -19]","(12698.413, 13151.927]",-9.53699553918889
"(25, 30]","(-20, -19]","(13151.927, 13605.442]",-9.53699553918889
"(25, 30]","(-20, -19]","(13605.442, 14058.957]",-9.53699553918889
"(25, 30]","(-20, -19]","(14058.957, 14512.472]",-9.53699553918889
"(25, 30]","(-20, -19]","(14512.472, 14965.986]",-9.53699553918889
"(25, 30]","(-20, -19]","(14965.986, 15419.501]",-9.53699553918889
"(25, 30]","(-20, -19]","(15419.501, 15873.016]",-9.53699553918889
"(25, 30]","(-20, -19]","(15873.016, 16326.531]",-9.53699553918889
"(25, 30]","(-20, -19]","(16326.531, 16780.045]",-9.75223686380872
"(25, 30]","(-20, -19]","(16780.045, 17233.56]",-9.75223686380872
"(25, 30]","(-20, -19]","(17233.56, 17687.075]",-9.80080463911816
"(25, 30]","(-20, -19]","(17687.075, 18140.59]",-9.80080463911816
"(25, 30]","(-20, -19]","(18140.59, 18594.104]",-9.80080463911816
"(25, 30]","(-20, -19]","(18594.104, 19047.619]",-9.80080463911816
"(25, 30]","(-20, -19]","(19047.619, 19501.134]",-9.80080463911816
"(25, 30]","(-20, -19]","(19501.134, 19954.649]",-9.80080463911816
"(25, 30]","(-20, -19]","(19954.649, 20408.163]",-9.80080463911816
"(25, 30]","(-20, -19]","(20408.163, 20861.678]",-9.80080463911816
